date,question,committee,project,responsible,attendees
2025-06-11,Pagrindinis (svarstymas),Ekonomikos komitetas,"Planuojamos ūkinės veiklos poveikio aplinkai vertinimo įstatymo  Nr. I-1495 2, 3, 8, 11, 12 straipsnių, 1, 2 ir 3 priedų pakeitimo įstatymo projektas",,
2025-06-11,Kiti klausimai,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-04,Valstybinės energetikos reguliavimo tarybos 2024 metų veiklos ataskaita,Ekonomikos komitetas,,B.  VėsaitėA.  BagdonasR. O.  DuburaitėR.  Petkūnienė,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-04,"Radioaktyviųjų atliekų tvarkymo įstatymo Nr. VIII-1190  7, 14, 21 straipsnių pakeitimo ir Įstatymo papildymo 6-1 straipsniu įstatymo projektas Kviečiami dalyvauti: ​​Energetikos ministerijos, VATESI atstovai​",Ekonomikos komitetas,VIII-1190,I.  GelažnikienėA.  AnušauskasR. O.  DuburaitėR.  Petkūnienė,
2025-06-04,Pagrindinis (svarstymas),Ekonomikos komitetas,"Branduolinės saugos įstatymo Nr. XI-1539 32 straipsnio pakeitimo įstatymo projektasKviečiami dalyvauti:​​Energetikos ministerijos, VATESI atstovai​",,
2025-06-04,"Energetikos įstatymo Nr. IX-884 2, 8, 24-1, 24-2, 25, 26, 36 straipsnių pakeitimo ir Įstatymo papildymo 26-1 straipsniu įstatymo projektas Kviečiami dalyvauti: ​​Energetikos ministerijos, Valstybinės energetikos reguliavimo tarnybos   atstovai​",Ekonomikos komitetas,IX-884,B.  VėsaitėD.  KreivysR. O.  DuburaitėR.  Petkūnienė,
2025-06-04,Teisės departamento (2025-05-26)  išvada Energijos vartojimo efektyvumo didinimo įstatymo Nr. XII- 2702 pakeitimo įstatymo projektui (nauja redakcija) Kviečiami dalyvauti: ​Energetikos ministerijos atstovai,Ekonomikos komitetas,XII-,B.  VėsaitėD.  KreivysR. O.  DuburaitėR.  Petkūnienė,
2025-06-04,Pagrindinis (pasiūlymų svarstymas),Ekonomikos komitetas,"Teisės departamento (2025-05-26)  išvada Energetikos įstatymo Nr. IX-884 2, 8 straipsnių ir priedo pakeitimo įstatymo projektuiKviečiami dalyvauti:​Energetikos ministerijos atstovai",,
2025-06-04,Pagrindinis (pasiūlymų svarstymas),Ekonomikos komitetas,"Teisės departamento (2025-05-26)  išvada Šilumos ūkio įstatymo Nr. IX-1565 2, 7, 8, 8-2, 10-2, 29 straipsnių, priedo pakeitimo ir Įstatymo papildymo 8-3 straipsniu įstatymo projektuiKviečiami dalyvauti:​Energetikos ministerijos atstovai",,
2025-06-04,"Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas Kviečiami dalyvauti: ​Finansų ministerijos, Valstybės kontrolės atstovai",Ekonomikos komitetas,XVP-453,I.  GelažnikienėA.  BagdonasL.  Jasiukėnienė,
2025-06-04,Kiti klausimai,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-05-23,Posėdžio darbotvarkės tvirtinimas,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-05-23,"Pelno mokesčio įstatymo Nr. IX-675 5, 17, 18, 30, 33, 34, 35, 38-2 , 41, 43 ir 56-1 straipsnių pakeitimo ir Įstatymo papildymo 30-3 straipsniu įstatymo projektas Kviečiami dalyvauti: ​Finansų ministerijos atstovai, Seimo narys K. Neimantas",Ekonomikos komitetas,IX-675,R.  KaunasA.  NorkienėL.  Jasiukėnienė,
2025-05-23,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 6, 13-1, 16, 17, 18, 18-2, 19, 20, 21, 23, 27, 34 ir 35 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Finansų ministerijos atstovai, Seimo nariai: A. Sysas, M. Poškus",Ekonomikos komitetas,IX-1007,R.  KaunasA.  NorkienėL.  Jasiukėnienė,
2025-05-23,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas Kviečiami dalyvauti: ​Socialinės apsaugos ir darbo ministerijos atstovai, Seimo narys A. Sysas, Lietuvos pramonininkų konfederacijos, Lietuvos EURAG asociacijos, Lietuvos darbdavių konfederacijos, Lietuvos bankų asociacijos, Lietuvos verslo konfederacijos, Lietuvos investicinių ir pensijų fondų asociacijos, Lietuvos rizikos ir privataus kapitalo asociacijos, Lietuvos laisvosios rinkos instituto, UAB Goindex atstovai ​",Ekonomikos komitetas,IX-1691,R.  SinkevičiusA.  AnušauskasI.  Jurkšuvienė,
2025-05-23,Kiti klausimai,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
