date,committee,question,project,responsible,attendees
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-05-23,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,
2025-05-23,Socialinių reikalų ir darbo komitetas,Papildomas (klausymai),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,
2025-05-23,Socialinių reikalų ir darbo komitetas,Pagrindinis (klausymai),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
2025-05-23,Socialinių reikalų ir darbo komitetas,Pagrindinis (klausymai),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,
2025-05-23,Socialinių reikalų ir darbo komitetas,Pagrindinis (klausymai),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,
2025-05-23,Socialinių reikalų ir darbo komitetas,Papildomas (klausymai),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,
2025-05-21,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-05-21,Socialinių reikalų ir darbo komitetas,Darbo kodekso 123 straipsnio pakeitimo įstatymo projektas,XVP-97,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,
2025-05-21,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,,
2025-05-21,Socialinių reikalų ir darbo komitetas,Biudžetinių įstaigų darbuotojų darbo apmokėjimo ir komisijų narių atlygio už darbą įstatymo Nr. XIII-198 2 priedo pakeitimo įstatymo projektas,XIII-198,L.  KukuraitisP.  KuzmickienėI.  Kuodienė,
